Fish Species,Temperature (°C),pH,Turbidity (NTU),Dissolved Oxygen (mg/L),Salinity (ppt),Ammonia (%),Nitrates (%)
Salmon,13.69,6.88,2.48,6.49,19.79,0.12,29.79
Goldfish,23.47,7.55,12.73,5.21,4.63,0.2,42.47
Trout,15.18,6.7,2.57,8.78,3.7,0.12,14.93
Trout,17.54,7.36,6.32,11.7,3.75,2.09,22.83
Trout,11.21,6.74,6.53,9.6,1.18,1.55,24.46
Tilapia,27.31,6.62,34.8,5.37,1.2,1.24,18.56
Salmon,12.46,6.69,4.17,9.13,15.9,1.83,44.1
Salmon,9.86,6.71,8.43,6.22,10.15,0.34,48.59
Tilapia,27.9,7.2,16.78,6.27,3.27,2.94,24.71
Goldfish,20.7,8.24,9.86,5.43,1.46,0.96,27.21
Trout,14.92,6.51,1.64,9.12,1.9,,24.19
Clownfish,25.19,7.88,1.86,5.37,32.44,2.41,31.49
Salmon,8.17,7.42,0.8,8.45,34.36,0.66,10.12
Bass,18.34,7.25,28.15,4.03,5.64,1.52,42.94
Salmon,9.97,6.7,8.64,10.23,18.27,0.87,30.92
Catfish,25.75,6.77,71.6,5.59,2.41,0.4,14.52
Salmon,11.51,7.41,0.38,8.86,10.96,1.51,36.65
Trout,11.43,6.88,7.12,10.1,3.63,0.66,3.12
Trout,13.22,6.8,8.57,9.41,3.55,1.64,17.96
Salmon,8.2,6.78,9.2,11.33,17.16,1.57,38.39
,17.76,6.81,7.41,11.01,4.6,0.68,32.78
Catfish,27.25,7.6,72.91,3.79,1.8,2.94,38.24
Eel,7.41,6.55,19.69,5.77,29.62,0.4,34.56
Salmon,8.74,6.63,,10.02,27.95,1.59,
,9.87,7.47,1.81,7.01,33.82,0.79,
Salmon,8.68,7.42,3.86,8.12,29.77,,49.48
Goldfish,21.84,7.92,14.59,6.66,3.9,1.73,11.96
Tilapia,23.95,7.09,17.91,7.36,1.59,0.29,33.99
Eel,10.24,7.82,14.48,4.34,7.78,0.2,18.75
Trout,11.76,7.41,9.83,8.12,3.64,1.96,28.29
Bass,17.42,6.44,,6.26,0.0,0.74,35.5
Eel,19.95,6.65,29.03,4.19,,2.05,13.05
Eel,23.41,6.28,14.09,4.49,25.84,0.56,23.0
Bass,24.13,7.08,,9.01,6.03,2.07,41.85
Salmon,13.02,6.92,1.15,10.75,20.69,2.66,37.58
Bass,24.5,7.4,11.49,6.04,9.84,0.68,10.15
Eel,23.4,7.25,15.02,7.55,26.88,2.06,9.0
Catfish,27.73,7.23,29.06,4.54,0.8,1.13,47.29
Salmon,11.82,7.06,3.29,6.24,33.7,0.67,21.18
Trout,11.57,,,11.41,2.6,1.01,47.93
Salmon,11.6,7.11,5.8,10.71,25.34,0.86,18.53
Tilapia,24.45,6.66,47.1,6.83,0.31,0.5,
Tilapia,29.77,,10.29,,0.99,0.04,23.07
Tilapia,24.61,6.69,15.61,5.96,3.56,2.46,15.14
Salmon,9.59,6.78,4.16,7.35,20.03,1.41,30.52
Bass,16.49,6.61,37.56,,3.36,1.41,7.08
Trout,16.12,7.42,7.68,7.87,,1.63,33.32
Salmon,10.43,6.69,0.46,6.18,31.99,0.46,29.19
Trout,11.83,7.39,0.58,10.66,2.77,2.24,12.72
Salmon,9.34,7.09,9.62,11.53,13.18,2.79,23.65
,25.15,8.08,2.52,7.25,33.8,0.7,24.98
Eel,13.54,7.38,27.76,5.99,14.92,1.0,8.43
Salmon,11.67,6.84,6.03,7.76,,1.79,
Salmon,13.57,7.06,8.02,7.22,29.55,2.94,49.2
Salmon,14.63,7.07,4.79,9.46,20.76,2.98,3.76
Clownfish,25.17,8.1,0.51,6.19,30.89,2.27,10.13
Bass,21.3,6.41,13.38,7.84,5.79,2.78,20.74
Catfish,26.75,7.43,48.89,3.57,0.56,1.56,34.75
Clownfish,25.89,7.84,2.61,6.53,29.29,,33.99
Bass,22.67,7.06,41.78,7.84,2.14,2.39,46.37
Goldfish,16.02,7.09,,7.9,1.84,0.73,16.3
Salmon,10.47,6.83,7.18,7.74,15.94,0.59,10.39
Bass,21.16,6.81,11.42,6.09,8.03,1.79,48.08
Clownfish,25.5,8.03,3.61,5.42,32.52,,14.33
Salmon,13.58,7.27,7.17,7.34,10.37,1.7,15.9
Goldfish,24.06,7.38,19.47,6.03,4.25,1.52,46.68
Clownfish,27.2,,3.21,6.18,29.0,2.54,10.94
Salmon,11.2,6.96,4.98,11.02,10.53,2.62,38.85
Goldfish,11.95,7.13,14.75,6.19,1.95,1.07,36.83
Bass,20.68,6.83,26.64,9.14,8.02,0.83,25.57
,,7.04,58.15,4.28,4.22,1.18,2.0
Bass,19.96,6.84,48.59,4.42,6.05,1.5,26.14
Goldfish,22.63,7.64,6.32,6.43,4.57,2.76,15.71
Bass,22.82,7.12,7.78,5.5,5.31,1.08,29.96
Salmon,13.8,6.76,5.37,11.41,,2.72,24.59
Trout,16.84,6.66,7.57,11.28,1.78,1.89,8.22
Goldfish,23.5,7.74,8.69,6.79,3.04,0.09,
Eel,13.21,7.61,14.1,5.85,27.72,2.56,47.01
Bass,16.86,7.06,5.87,5.15,8.66,0.69,10.24
Tilapia,27.99,7.46,22.69,7.03,4.71,0.66,42.98
Clownfish,25.87,8.25,2.42,7.55,29.23,2.47,23.47
Eel,10.07,6.06,29.6,,24.13,2.55,14.3
Tilapia,24.74,6.96,38.52,7.33,3.86,2.05,0.9
Eel,6.07,7.17,23.04,3.73,13.11,1.29,47.2
Clownfish,,8.38,1.44,,34.42,1.88,43.51
Bass,16.7,6.04,49.27,7.66,5.19,0.16,3.51
Tilapia,26.57,6.98,48.42,7.48,0.24,2.3,19.38
Tilapia,24.46,7.53,11.33,5.61,1.28,1.02,
Catfish,6.439580258561875,7.99,38.03,6.16,,0.9,44.19
Bass,24.65,6.35,20.68,9.96,1.97,1.67,48.63
Clownfish,25.29,7.87,1.69,7.48,33.27,0.17,24.3
Salmon,11.53,6.7,6.26,7.19,12.9,0.33,2.9
Trout,10.48,7.07,8.86,10.54,3.34,2.1,46.96
Catfish,26.77,6.31,12.11,4.63,3.05,0.15,1.64
Eel,16.36,,19.67,4.3,24.9,0.69,6.32
Bass,16.22,6.42,44.89,5.83,7.34,0.53,17.17
Tilapia,28.94,7.33,28.37,6.43,4.09,0.07,29.46
Salmon,13.9,7.32,9.68,11.63,11.47,2.91,28.36
Bass,19.21,6.52,,9.87,4.73,2.08,41.58
Eel,7.91,6.46,19.7,4.51,29.5,2.36,24.71
Trout,17.13,7.18,8.93,7.03,3.21,1.47,12.45
Eel,15.25,7.61,27.38,6.38,21.99,1.15,37.37
Eel,13.43,6.85,26.32,6.99,7.36,2.18,14.89
Salmon,12.82,6.59,6.31,6.19,24.28,2.18,16.03
Salmon,12.53,7.26,4.94,9.43,10.14,1.06,26.47
Salmon,,,0.02,6.77,29.61,1.46,43.99
Goldfish,17.16,7.56,18.5,6.33,2.47,2.19,
Tilapia,26.1,7.08,10.72,7.32,,0.78,1.67
Eel,6.31,7.94,21.61,5.56,18.67,1.01,11.2
Eel,,7.65,20.33,4.88,5.96,1.33,36.48
Eel,24.42,7.79,20.85,4.03,29.82,0.51,29.73
Goldfish,19.95,7.61,14.98,6.63,0.66,0.82,2.12
Eel,23.42,7.28,16.02,5.2,21.59,,4.63
Bass,22.86,7.31,13.38,7.03,0.62,1.03,
Salmon,10.56,7.25,7.04,10.79,29.21,0.14,15.18
Goldfish,18.65,7.33,19.92,7.92,1.26,0.69,26.9
Eel,7.56,6.69,15.12,6.81,21.4,2.5,7.34
Bass,23.73,6.87,6.09,8.4,4.11,0.72,13.98
Trout,17.31,6.87,5.55,,1.23,0.24,5.87
Goldfish,10.48,8.41,8.33,,2.68,,10.58
Bass,16.9,7.31,21.59,6.14,7.16,0.02,38.43
Eel,11.1,7.1,18.11,6.16,16.16,1.42,34.98
Tilapia,29.43,7.96,12.6,6.31,24.118852401842016,2.65,43.07
Tilapia,28.17,6.71,15.67,4.56,0.48,1.2,5.13
Catfish,26.28,6.47,87.1,6.67,0.06,0.75,35.47
Trout,13.52,,6.91,8.86,0.35,2.6,14.46
Goldfish,13.4,7.41,10.12,5.21,4.47,,12.52
Eel,7.33,7.43,17.81,6.26,8.08,2.23,27.88
Catfish,22.31,7.26,20.34,3.53,2.23,0.96,38.12
Eel,22.85,7.97,26.12,5.54,25.84,1.67,30.76
Bass,16.91,6.49,23.75,15.69345454253017,6.63,2.92,42.64
,9.6,7.03,5.8,9.15,23.92,,45.09
Tilapia,27.58,7.7,36.29,7.72,3.44,0.11,6.76
Catfish,27.37,6.34,28.13,6.62,3.05,2.08,33.3
Salmon,8.27,7.02,1.55,10.11,,,44.56
Eel,16.89,7.3,22.02,3.36,25.06,0.23,9.34
Eel,5.56,6.99,17.13,5.8,,1.43,5.58
Goldfish,19.58,7.26,19.59,6.46,3.97,0.06,24.45
Tilapia,27.84,7.85,28.04,5.77,0.12,1.69,48.9
Eel,16.27,7.83,12.4,6.54,23.22,0.65,6.2
Catfish,27.77,6.74,29.01,6.91,1.78,0.58,37.02
Clownfish,26.06,8.23,,5.2,31.49,0.96,10.79
Salmon,10.66,6.91,8.36,8.48,21.24,,30.47
Salmon,13.99,7.47,2.51,7.69,15.06,1.16,31.0
Trout,15.44,7.0,0.01,7.22,1.38,0.91,46.69
Catfish,21.39,7.02,49.15,,1.49,1.14,14.57
Goldfish,21.84,8.42,13.24,7.77,2.89,2.45,7.19
Trout,14.52,7.12,0.16,7.69,4.08,0.74,35.21
Tilapia,22.98,7.32,38.65,5.99,0.41,0.81,45.82
Salmon,,7.19,4.07,11.74,26.47,2.23,23.18
Tilapia,26.21,7.83,31.44,7.76,3.93,2.9,12.54
Trout,,7.19,0.67,9.18,2.5,2.89,4.28
Catfish,27.32,7.76,61.3,6.38,,,17.59
Eel,13.98,6.98,26.31,3.97,28.99,1.2,45.19
Catfish,6.819839090553771,,79.99,3.09,4.81,0.11,46.41
Salmon,8.4,6.88,1.04,11.33,24.32,1.38,26.3
Trout,14.14,6.82,8.28,9.32,4.78,2.87,3.05
Eel,17.89,7.33,,5.21,23.48,1.45,48.46
Tilapia,29.28,7.2,27.74,4.81,0.68,1.86,14.75
,8.17,7.46,8.92,6.83,14.3,0.88,2.6
Eel,19.4,6.51,24.22,5.0,28.85,0.75,3.59
Salmon,12.89,,3.33,9.1,28.34,0.58,37.75
Eel,20.48,7.26,18.61,,26.25,1.74,11.43
Tilapia,22.46,7.49,22.01,7.2,3.77,2.57,32.98
Catfish,22.61,,95.96,3.55,0.89,0.64,17.32
Catfish,23.78,6.98,58.57,4.08,1.1,0.81,32.3
Tilapia,24.27,7.83,22.66,5.4,3.84,0.2,
Salmon,10.75,7.16,8.25,,23.55,2.93,27.32
Clownfish,24.82,8.1,0.29,5.89,33.09,0.43,1.08
Eel,14.81,6.13,13.33,5.08,10.88,1.34,1.91
Catfish,23.7,6.27,55.62,5.14,1.47,1.64,36.01
Goldfish,11.44,7.72,18.41,5.47,,2.86,
Tilapia,28.75,7.54,40.23,4.93,0.46,2.82,46.65
Goldfish,23.1,7.65,10.92,5.82,0.23,2.07,45.56
Trout,12.1,6.61,0.68,7.56,1.6,1.19,44.32
Trout,10.68,7.01,5.95,8.62,4.52,0.82,12.84
Bass,24.63,7.43,18.76,4.62,8.28,2.91,49.63
Salmon,14.61,6.9,8.42,7.24,18.48,0.06,2.81
Salmon,10.1,7.05,0.27,6.69,21.44,,3.37
Trout,13.99,7.04,8.68,11.93,0.75,1.97,12.76
Eel,21.1,7.21,11.76,6.44,13.26,0.14,32.54
Salmon,8.77,7.02,4.47,9.08,19.75,0.41,19.1
Bass,,6.05,48.25,6.46,3.8,,34.48
Bass,24.47,6.63,22.22,7.36,5.51,2.3,14.25
Catfish,25.95,9.782950786528545,57.29,6.48,3.29,0.89,40.69
Bass,24.32,6.79,29.92,6.15,2.55,,25.98
Clownfish,26.01,8.11,2.28,6.67,31.9,0.54,4.84
Catfish,26.72,7.85,94.46,5.69,2.26,1.4,45.6
Catfish,26.14,7.33,,3.24,0.63,2.19,26.96
Bass,16.84,6.5,7.01,4.97,1.52,2.68,28.84
Salmon,11.81,6.72,3.17,11.45,12.44,2.83,45.89
Bass,21.92,6.18,47.72,7.4,0.06,0.75,33.99
Tilapia,28.13,7.26,45.26,7.77,0.62,0.53,43.93
Salmon,8.77,7.07,1.22,11.54,31.38,0.66,12.24
Trout,11.14,,8.86,8.64,2.79,2.55,1.94
Bass,15.65,6.46,40.37,5.35,9.87,0.83,36.25
,10.52,6.82,9.7,6.85,27.13,2.21,39.92
Salmon,12.29,7.29,2.31,8.82,26.73,2.37,6.63
Salmon,11.72,7.34,4.81,6.19,26.64,1.62,8.3
Trout,10.91,6.85,8.0,8.15,2.9,1.74,15.75
Trout,10.1,7.26,6.68,8.13,0.81,0.39,19.52
Catfish,21.71,7.32,35.43,6.67,1.03,0.53,39.67
Catfish,20.11,6.07,17.73,4.41,0.26,2.02,25.24
,26.34,8.12,1.14,7.48,34.33,0.09,36.53
Clownfish,27.39,8.21,2.24,5.23,29.19,2.21,9.27
Catfish,1.6341296386592585,6.32,5.79,6.59,1.46,2.22,20.85
Salmon,11.43,7.27,7.25,11.46,30.69,0.92,18.32
Trout,11.83,7.26,2.83,7.19,2.45,1.35,8.65
Tilapia,24.8,7.15,33.92,,3.4,0.45,46.69
Goldfish,10.86,8.01,18.09,6.02,2.74,,0.89
Salmon,9.37,7.2,6.85,10.94,,1.6,19.5
Eel,21.91,7.41,10.64,4.3,11.89,0.01,23.47
Tilapia,25.64,7.48,24.95,,4.1,1.29,7.86
Catfish,25.32,7.86,82.13,5.05,0.23,0.17,43.0
Trout,17.38,6.69,7.28,11.45,,0.78,9.6
Bass,23.13,6.68,20.96,7.18,4.05,2.5,7.22
Clownfish,27.74,7.97,3.89,7.74,,,48.85
Catfish,-3.5742335722843226,6.46,9.4,6.34,1.18,0.82,16.8
Bass,23.25,6.75,37.97,9.53,0.59,2.38,0.77
Salmon,14.79,7.38,0.42,10.39,32.9,0.73,
Clownfish,26.82,8.1,1.82,6.16,28.18,1.55,29.02
Bass,17.13,6.4,30.65,8.45,7.26,0.94,9.63
Bass,20.57,6.08,19.07,9.02,7.06,2.68,
Bass,16.56,6.67,47.31,5.96,0.88,0.29,
Clownfish,27.28,7.97,0.92,,33.27,1.48,19.89
Trout,12.08,,6.7,10.81,4.95,1.52,31.96
Bass,24.3,6.35,37.28,7.88,0.5046175338624863,1.6,37.73
Trout,14.91,7.4,7.88,11.03,3.45,1.91,27.86
Tilapia,29.94,7.26,39.92,4.14,1.94,1.23,45.21
Salmon,11.1,7.29,1.18,8.89,18.26,1.22,23.2
Salmon,8.45,7.25,5.13,8.5,30.71,0.8,
Clownfish,25.86,8.05,3.81,7.65,28.52,1.5,26.65
,29.3,7.65,17.52,7.45,2.99,0.14,10.49
Goldfish,21.31,7.45,15.65,7.42,2.6,2.83,
Eel,19.86,6.8,10.45,6.14,,1.45,5.32
,10.82,7.34,12.76,,4.84,0.59,5.54
Eel,6.49,6.11,12.62,6.28,20.75,0.14,20.65
Goldfish,24.66,7.27,,7.66,4.11,1.95,32.91
Clownfish,26.9,7.9,3.94,5.35,31.1,0.33,33.21
Salmon,8.84,6.92,2.08,11.06,13.96,0.3,16.89
Catfish,20.23,6.1,28.74,3.83,0.79,2.85,8.59
Salmon,11.5,6.99,4.49,,13.61,,14.63
Tilapia,27.7,,38.09,6.38,1.3,1.6,13.1
Bass,19.13,6.32,11.46,5.63,4.04,1.71,21.3
Tilapia,22.43,6.69,49.12,5.85,3.52,1.75,0.52
Salmon,14.25,6.87,6.18,9.51,29.03,0.28,3.14
Catfish,24.22,6.17,97.84,5.42,4.49,2.06,34.01
Eel,10.05,6.3,26.81,6.24,17.55,1.65,15.11
Bass,19.39,6.23,5.81,8.11,0.96,2.04,47.61
Eel,10.13,6.52,27.64,5.14,5.61,0.38,7.9
Trout,15.12,6.76,9.38,9.04,4.51,0.29,19.82
Salmon,11.17,6.72,8.44,8.05,21.97,1.33,3.23
Catfish,26.51,7.71,60.3,3.76,,0.95,36.62
Catfish,27.1,6.89,34.45,5.91,0.47,1.61,0.15
Eel,14.03,7.51,11.01,5.49,9.22,2.68,16.68
Catfish,24.45,6.11,29.49,6.14,4.01,1.85,19.15
Eel,16.92,6.37,14.06,4.27,,1.95,24.72
Catfish,21.47,7.24,10.98,4.64,3.67,1.21,47.59
Clownfish,24.11,8.23,4.48,7.85,31.39,2.4,
Goldfish,,7.56,15.4,7.76,2.57,,20.18
Trout,16.09,6.55,2.46,9.82,,1.32,12.0
Eel,18.32,7.9,27.49,4.65,27.28,0.08,35.47
Catfish,25.0,7.94,85.9,3.75,3.98,0.78,31.37
Eel,15.18,6.42,,6.8,21.94,,2.29
Catfish,20.65,6.29,69.96,5.5,2.86,2.05,42.06
Bass,22.61,6.11,36.13,7.3,8.68,2.88,1.42
Salmon,9.71,6.75,4.56,10.67,26.24,2.82,1.59
Trout,11.52,7.31,3.84,7.36,2.58,0.5,10.36
Clownfish,27.24,,0.04,7.91,29.24,0.29,35.0
Catfish,24.04,7.19,66.58,3.79,,2.34,34.26
Tilapia,25.78,7.46,31.37,4.63,2.6,2.1,3.92
Tilapia,22.89,6.98,42.29,5.83,4.96,2.04,11.39
Eel,24.4,6.17,17.09,4.55,19.91,1.57,28.62
Trout,12.84,7.42,5.8,7.96,1.06,0.12,27.18
Catfish,26.94,7.75,12.44,4.46,0.27,1.31,37.82
Goldfish,13.09,7.95,17.8,5.62,2.38,1.62,24.18
Bass,22.56,6.25,34.43,7.62,6.85,1.27,5.69
Clownfish,24.65,8.08,3.72,6.4,31.98,0.29,21.35
Eel,19.56,7.37,17.73,7.81,23.9,1.44,14.0
Tilapia,28.76,7.73,,4.2,3.84,0.15,33.66
Eel,,6.6,11.2,6.09,9.91,0.09,46.27
Bass,16.76,6.15,30.35,4.65,8.61,0.19,35.58
Goldfish,,7.84,9.85,7.2,3.67,0.46,41.27
Salmon,8.65,7.5,3.5,6.93,22.26,0.78,48.32
Salmon,13.02,6.71,7.3,11.67,19.25,1.63,20.39
Eel,8.52,7.1,28.42,5.35,9.96,1.87,7.25
Clownfish,26.19,8.36,0.3,5.04,30.5,2.79,4.93
Catfish,20.92,7.23,56.27,6.53,1.7,1.0,22.69
Goldfish,13.18,7.89,8.9,7.33,2.9,2.12,0.36
Eel,16.0,7.35,11.21,5.41,28.25,,24.94
Tilapia,27.54,7.84,37.49,5.04,0.78,2.1,31.37
Goldfish,23.08,8.12,,6.08,3.61,0.55,9.18
Goldfish,17.05,7.63,14.51,7.34,2.91,0.19,3.56
Bass,21.25,6.58,48.24,9.71,5.01,0.82,32.51
Tilapia,28.89,7.01,30.46,4.03,3.5,2.22,39.76
Clownfish,25.38,8.3,1.06,7.94,29.59,2.11,18.05
Catfish,23.12,7.79,96.95,6.51,2.9,0.0,22.12
Tilapia,29.96,7.77,45.63,7.34,0.71,1.31,42.02
Catfish,28.0,7.95,15.63,3.26,3.56,,12.17
Clownfish,27.22,7.99,2.85,5.24,29.29,0.83,40.06
Salmon,13.09,6.63,7.09,10.67,,2.28,5.89
Bass,19.03,7.5,31.66,7.25,6.56,0.47,35.45
Eel,10.46,6.17,25.0,4.13,6.22,2.47,22.69
Catfish,23.03,6.91,10.33,6.09,4.72,0.19,35.63
Tilapia,24.49,6.92,29.82,,1.23,0.02,14.91
Salmon,,7.25,5.64,11.57,28.27,2.75,41.1
Salmon,10.32,6.83,1.65,9.53,31.07,0.39,48.74
Catfish,23.33,6.07,54.73,6.02,4.31,2.39,18.1
Trout,12.6,6.98,7.56,10.64,2.35,1.36,46.42
Trout,12.06,6.86,7.67,8.85,3.9,2.09,33.04
Trout,14.74,6.78,,10.21,2.33,2.59,13.96
Trout,10.45,6.92,1.64,11.67,3.03,0.78,
Tilapia,27.2,7.65,37.11,7.35,2.36,1.59,43.45
Clownfish,26.46,8.29,2.03,6.18,29.06,1.33,32.5
Trout,12.92,6.54,0.06,11.06,3.43,,10.22
Trout,13.35,6.52,0.24,8.67,,0.35,23.63
Bass,23.77,6.9,43.85,5.42,9.15,2.16,33.1
Goldfish,24.04,4.111382834784086,9.84,6.03,4.0,0.54,14.65
Salmon,13.07,7.44,6.41,9.44,19.38,0.41,36.52
,13.3,6.17,29.09,3.66,26.6,0.9,10.72
Clownfish,25.64,7.9,,6.77,33.11,0.36,46.29
Clownfish,27.12,8.26,3.56,5.66,28.75,1.01,45.77
Trout,,7.26,1.88,8.91,,0.99,29.25
Trout,15.87,6.99,3.69,10.19,2.96,0.39,36.99
Goldfish,24.5,7.92,7.88,7.54,4.88,2.3,11.31
Tilapia,23.9,7.12,38.3,5.61,0.89,0.99,6.37
Tilapia,22.35,7.82,32.0,5.66,0.86,2.96,32.26
Catfish,27.67,6.7,41.86,3.1,1.03,2.84,47.24
Trout,10.29,6.76,4.9,10.37,0.74,2.15,36.07
Catfish,20.53,,85.22,4.73,3.73,1.53,24.68
Eel,5.62,7.35,23.89,6.89,19.62,0.96,49.52
Goldfish,11.77,7.38,15.14,6.85,2.76,2.35,40.89
Trout,17.42,7.41,8.03,,2.59,1.35,8.9
Bass,19.44,6.62,21.57,4.41,3.07,0.43,6.46
Goldfish,19.6,7.9,9.26,5.73,0.62,2.85,25.29
Tilapia,24.81,7.57,39.47,6.68,0.64,0.52,31.22
Eel,21.19,6.3,25.09,7.92,,1.41,12.77
Trout,14.36,7.16,6.47,10.65,,2.88,39.88
Salmon,,7.25,6.29,10.68,12.35,0.85,37.56
Salmon,,7.13,6.37,8.72,30.73,0.99,15.03
,11.41,7.36,18.99,6.53,3.05,0.45,8.7
Catfish,21.72,6.77,81.88,,3.48,2.45,26.68
Goldfish,,7.58,,6.73,0.49,2.03,33.09
Eel,19.61,6.29,13.33,7.13,28.44,2.98,26.91
Salmon,,7.02,7.33,10.87,31.22,2.71,35.81
Catfish,24.28,6.81,30.83,3.82,3.65,0.81,47.6
Salmon,11.73,6.78,,7.9,14.53,2.08,12.58
Catfish,26.84,6.09,33.26,5.03,1.66,2.56,1.14
Catfish,22.92,6.07,65.6,5.32,3.92,2.54,44.92
Eel,23.67,6.01,18.52,5.31,,0.8,22.42
Goldfish,17.85,7.24,6.41,7.21,1.43,1.92,20.55
Goldfish,15.3,7.83,6.42,7.42,4.35,0.34,6.56
Tilapia,25.35,6.92,20.11,7.2,2.89,2.95,8.61
Goldfish,16.33,8.0,10.64,6.5,,1.58,23.98
Tilapia,24.24,7.54,35.17,4.19,1.06,1.0,31.0
Goldfish,20.36,7.1,8.28,6.61,1.0,,44.24
Clownfish,26.88,8.25,1.19,5.99,34.13,2.85,31.83
Catfish,13.680460644904045,6.4,6.54,6.49,4.51,1.42,25.69
Trout,,7.48,2.5,9.73,0.28,1.33,2.37
Eel,,,28.61,4.94,8.11,0.64,5.66
Trout,17.54,6.7,3.56,7.88,1.05,0.18,49.78
Salmon,14.37,6.62,8.82,6.5,29.36,0.33,16.39
Bass,24.01,6.45,44.34,8.42,7.87,1.57,17.46
Bass,20.97,6.53,10.42,8.61,0.9,,39.07
Eel,18.05,7.45,15.06,4.39,8.61,,15.09
Bass,17.82,7.26,13.57,9.68,6.2,2.7,10.43
Trout,15.11,6.53,6.97,11.02,4.08,2.82,6.35
Eel,11.86,6.41,26.14,6.21,17.24,2.01,43.34
Catfish,26.2,6.85,22.56,6.45,0.94,2.64,2.62
Tilapia,24.14,7.61,17.83,6.46,3.93,0.14,35.48
Tilapia,28.13,7.96,46.49,4.97,3.95,0.57,30.19
Goldfish,18.42,7.88,6.44,6.69,0.17,0.27,23.19
Eel,5.42,7.5,,5.05,26.13,2.08,2.61
Goldfish,21.9,8.27,11.75,5.48,4.98,2.19,37.34
Tilapia,27.44,7.69,25.29,6.68,4.19,2.04,17.66
Eel,9.31,7.53,22.85,3.58,18.36,0.47,3.11
Trout,14.17,6.94,1.03,7.62,0.63,0.97,34.27
Clownfish,25.11,8.2,2.94,6.41,29.08,1.68,11.82
Goldfish,11.26,8.42,12.92,7.19,1.55,2.72,39.45
Goldfish,22.61,7.06,15.07,5.3,0.33,1.67,45.56
Clownfish,27.79,8.2,2.12,5.56,33.53,0.84,13.48
Catfish,25.99,7.76,82.88,6.95,1.55,1.63,19.19
Tilapia,25.15,6.88,47.55,7.56,4.54,1.34,42.92
Clownfish,27.43,8.0,0.21,6.75,32.44,2.62,49.66
Bass,16.97,6.66,11.37,,4.75,1.66,
Bass,16.02,7.46,29.34,5.81,8.16,,6.91
Clownfish,,8.39,0.47,7.36,28.41,1.49,7.91
Clownfish,24.92,7.81,4.5,,33.69,1.34,47.96
Catfish,22.63,7.67,65.0,5.98,3.24,0.29,12.39
Tilapia,28.57,8.978692561609986,43.98,6.67,3.49,1.56,41.66
Bass,22.93,6.01,29.81,6.22,1.09,1.21,
Goldfish,18.09,7.91,19.16,6.77,0.55,2.13,
Bass,22.35,7.34,21.81,7.01,9.84,1.18,2.54
Eel,20.47,7.1,18.74,,18.08,1.02,46.01
Clownfish,25.91,7.82,1.07,6.02,33.1,0.84,3.29
Salmon,10.37,6.94,2.04,8.84,29.91,2.5,18.57
Bass,23.97,7.25,6.18,4.37,2.03,2.27,42.52
Tilapia,24.68,7.43,35.57,,4.24,2.72,31.55
Trout,14.2,7.16,8.56,11.88,4.64,1.67,6.31
Tilapia,24.54,7.11,39.86,5.68,4.93,,19.27
Eel,16.35,6.88,19.23,5.91,,2.08,2.32
Catfish,22.64,6.68,57.83,5.3,2.01,2.14,25.46
Bass,19.24,6.59,39.07,9.14,1.82,1.66,22.87
Goldfish,20.11,7.61,9.57,6.72,0.47,2.1,15.23
Bass,24.45,6.5,24.74,9.78,6.18,2.0,7.51
Catfish,11.05160710493736,7.27,11.95,3.98,1.19,0.13,37.34
Catfish,21.09,7.64,16.72,4.57,2.9,0.56,12.43
Catfish,24.07,7.48,,5.64,1.22,1.74,40.26
Catfish,21.46,7.2,36.95,5.85,1.93,0.47,29.04
Clownfish,27.86,8.26,1.01,6.89,30.69,1.97,36.39
Trout,15.06,6.7,3.58,11.08,1.44,0.37,22.1
Eel,15.04,6.78,13.69,5.44,24.92,2.4,
Bass,22.6,6.31,41.77,5.05,2.2,1.26,40.85
Salmon,14.29,7.06,3.76,11.1,10.86,1.36,24.01
Tilapia,29.27,7.68,47.9,5.36,3.83,0.11,25.51
Tilapia,22.09,7.8,12.4,7.02,4.48,1.37,30.46
Clownfish,,8.07,1.18,7.63,33.4,1.84,18.7
Tilapia,22.28,7.64,16.3,7.08,2.53,,36.84
Salmon,8.87,7.34,,7.98,33.78,1.45,3.71
,17.96,7.33,40.61,8.45,3.26,0.82,6.51
Salmon,10.85,6.67,4.88,10.32,15.82,2.99,40.99
Salmon,12.58,7.34,7.42,8.96,18.49,1.34,5.22
Goldfish,21.43,7.39,13.08,6.6,2.22,0.86,4.28
Tilapia,23.63,,47.04,7.68,3.59,0.25,29.11
,20.35,7.24,9.93,5.95,3.62,0.98,17.88
Clownfish,26.12,8.19,4.84,6.31,33.2,2.42,8.8
Bass,16.64,6.63,43.0,6.08,1.29,1.38,34.93
Goldfish,11.79,8.11,11.34,5.57,4.26,0.25,32.78
Trout,17.47,6.85,4.8,11.32,3.29,,34.76
Trout,15.37,6.58,7.78,10.41,2.61,0.23,8.46
Clownfish,,8.28,2.65,6.78,32.54,1.2,24.12
,13.28,7.08,7.85,7.59,2.72,2.49,29.12
Clownfish,25.28,8.1,1.6,,32.76,2.11,26.07
Salmon,10.79,7.16,7.02,9.57,19.36,2.34,44.94
Bass,16.89,6.93,12.22,9.26,8.41,2.16,3.03
Tilapia,22.29,7.68,22.61,7.69,1.07,1.06,44.56
Catfish,27.08,,92.72,6.9,1.06,1.9,5.21
