Fish Type,Temperature (°C),Turbidity (NTU),pH Level,Ammonia (mg/L),Nitrates (mg/L),Dissolved Oxygen (mg/L)
Bass,16.4,4.05,7.63,0.242,48.66,4.45
Salmon,,1.15,6.67,0.16,1.44,9.16
Catfish,23.19,7.41,6.04,0.814,18.31,5.26
Salmon,12.54,1.88,7.71,0.04,16.02,6.27
Bass,22.53,4.84,7.33,0.079,24.27,5.39
Catfish,25.56,4.91,6.38,0.869,26.22,4.9
Trout,16.43,2.8,7.05,0.053,13.34,8.26
Tilapia,29.33,3.48,6.71,0.056,16.85,5.43
Catfish,24.37,4.71,6.06,0.009,26.31,6.28
Tilapia,29.8,4.66,7.06,0.426,5.69,4.85
Trout,5.8,1.62,6.88,0.19,10.2,11.74
Goldfish,14.27,3.19,7.67,0.16,10.27,8.8
Trout,17.85,1.86,7.28,0.008,17.16,9.88
Bass,24.99,5.78,6.31,0.221,5.98,8.72
Tilapia,,1.48,8.23,0.097,34.16,7.8
Salmon,12.27,0.13,6.98,0.1,24.86,10.83
Catfish,22.16,,7.35,0.263,50.3,5.86
Trout,9.2,0.26,6.54,0.004,18.31,9.44
Trout,9.36,2.55,6.8,0.036,18.19,7.27
Goldfish,22.7,2.27,7.11,0.31,20.74,5.41
Goldfish,18.86,3.72,7.72,0.295,35.76,5.74
Trout,8.04,2.11,6.52,0.004,13.7,9.79
Bass,26.34,3.45,8.45,0.246,21.81,8.49
Goldfish,17.45,3.41,7.18,0.087,30.69,7.19
Trout,14.48,2.45,6.89,0.1,15.22,11.27
Bass,16.68,5.34,6.61,0.266,37.81,6.41
Salmon,7.35,0.11,7.98,0.066,29.31,10.54
Goldfish,14.91,2.7,6.6,0.334,27.58,5.89
Catfish,23.82,4.94,6.25,0.114,19.98,5.73
Bass,,1.64,7.6,0.025,38.54,7.24
Catfish,25.14,5.25,6.22,0.031,37.67,4.02
Bass,19.13,5.68,6.05,0.042,37.69,5.1
Bass,20.45,2.02,7.97,0.184,31.03,8.6
Goldfish,14.44,3.9,7.17,0.183,25.72,5.8
Catfish,23.49,3.62,6.67,0.2,41.49,6.18
Bass,18.74,2.32,7.14,0.23,37.39,8.81
Trout,13.52,0.95,6.57,0.082,5.34,11.01
Tilapia,26.8,2.93,6.54,0.4,16.09,6.1
Catfish,25.5,8.65,6.67,0.318,30.67,6.2
Bass,22.38,3.15,8.25,0.102,5.72,6.67
Catfish,27.84,3.56,6.69,0.955,45.5,3.73
Tilapia,23.48,2.23,6.57,0.189,10.3,6.79
Tilapia,25.33,3.6,8.5,0.254,39.56,4.92
Goldfish,11.44,1.32,7.33,0.053,25.39,5.41
Trout,9.51,1.25,7.66,0.192,17.63,7.5
Catfish,20.29,9.32,7.63,0.451,36.4,6.59
Catfish,23.29,5.79,7.51,0.848,17.09,6.43
Catfish,23.47,3.23,7.29,0.742,34.34,5.52
Bass,19.82,4.86,6.16,0.086,45.13,8.88
Trout,17.19,2.13,7.65,0.097,14.02,7.87
Goldfish,11.33,3.77,7.75,0.07,21.71,5.34
Salmon,4.36,0.56,6.96,0.183,12.48,9.42
Trout,13.67,2.11,7.34,0.152,1.49,9.79
Bass,16.24,4.1,6.61,0.184,8.43,6.59
Salmon,9.12,1.43,6.64,0.09,27.54,6.1
Catfish,22.52,8.47,6.08,0.026,17.82,5.61
Salmon,11.42,0.59,6.65,0.023,12.31,
Goldfish,11.63,2.81,6.86,0.388,39.99,6.11
Catfish,24.77,4.33,6.82,0.422,38.67,6.44
Goldfish,11.81,1.21,,0.459,38.3,8.14
Trout,17.12,1.48,7.5,0.198,15.63,10.09
Tilapia,25.15,2.92,6.79,0.049,34.72,7.71
Bass,16.15,5.25,7.16,0.178,31.95,8.06
Bass,23.85,1.05,7.15,0.086,20.75,8.59
Catfish,26.48,3.07,6.83,0.349,51.08,5.61
Bass,17.93,2.01,6.09,0.225,48.78,6.45
Trout,5.7,2.59,7.4,0.191,5.05,11.6
Tilapia,22.61,2.67,8.08,0.078,14.03,
Tilapia,25.07,3.8,7.23,0.056,35.18,6.64
Catfish,20.93,7.99,7.64,0.497,58.43,3.41
Goldfish,21.56,3.68,7.28,0.246,11.7,6.86
Goldfish,16.15,1.99,7.4,0.023,39.28,6.63
Trout,7.22,2.2,7.64,0.079,5.24,10.99
Tilapia,23.23,1.66,7.82,0.076,17.36,6.94
Bass,15.91,2.66,7.54,0.289,49.42,5.06
Tilapia,22.7,3.7,7.82,0.071,18.96,7.72
Trout,9.39,0.78,7.77,0.079,6.7,11.83
Tilapia,27.91,2.0,7.69,0.446,46.17,5.73
Tilapia,27.09,4.88,8.41,0.417,7.32,4.6
Tilapia,27.21,4.44,7.37,0.111,3.52,4.39
Goldfish,18.41,2.98,6.92,0.187,34.9,6.7
Trout,10.54,2.6,7.43,0.141,8.14,
Goldfish,,3.2,7.78,0.107,20.38,5.7
Catfish,20.84,9.33,6.57,0.971,46.41,4.95
Goldfish,,2.65,7.95,0.023,39.35,7.47
Tilapia,28.02,1.35,7.17,,34.95,7.61
Bass,24.28,3.47,7.82,0.167,,6.8
Trout,6.28,1.21,7.77,0.157,1.87,10.73
Tilapia,23.91,2.77,6.54,0.105,25.22,7.37
Tilapia,26.46,4.36,8.14,0.127,14.28,
Bass,16.31,,7.11,0.146,32.88,8.53
Salmon,6.3,1.11,6.81,0.119,27.93,6.61
Salmon,13.35,0.5,6.63,0.124,28.48,10.96
Tilapia,28.58,1.66,7.29,0.132,36.99,6.78
Tilapia,29.23,3.15,7.9,0.062,12.15,6.69
Tilapia,28.18,3.51,8.18,0.169,29.3,4.05
Goldfish,21.91,1.1,6.99,0.402,29.58,8.96
Salmon,7.11,0.98,6.65,0.196,4.0,11.85
Goldfish,17.58,3.3,6.56,0.103,19.84,8.11
Salmon,10.76,1.3,7.62,0.138,12.58,11.34
Bass,26.39,2.98,6.6,0.235,39.17,4.0
Bass,18.13,3.32,7.85,0.257,20.08,7.08
Tilapia,24.62,3.39,7.86,0.291,3.93,6.2
Catfish,23.78,2.29,7.78,0.074,38.51,6.87
Tilapia,22.07,1.36,6.63,0.397,11.83,4.54
Bass,15.08,4.19,7.93,,48.5,4.94
Goldfish,10.4,2.76,7.19,0.077,23.27,8.18
Catfish,24.44,4.29,6.35,0.655,20.54,3.51
Catfish,23.72,3.57,6.15,0.105,15.32,5.77
Tilapia,29.79,2.58,8.07,0.342,,7.29
Bass,17.38,3.39,6.86,0.265,30.97,8.63
Salmon,5.99,0.46,7.61,0.001,3.67,
Catfish,25.86,7.08,7.7,0.079,57.73,3.94
Tilapia,25.08,3.53,7.59,0.446,28.35,6.79
Salmon,14.08,0.56,7.89,0.098,5.7,10.42
Catfish,27.13,4.29,6.85,0.586,43.06,4.04
Tilapia,28.14,4.02,8.41,0.142,16.92,6.58
Tilapia,26.21,2.34,7.69,0.272,32.13,6.71
Goldfish,13.98,1.85,7.22,0.233,4.94,8.94
Salmon,15.02,1.2,7.36,0.08,8.33,7.87
Catfish,20.04,4.4,6.08,0.811,36.43,6.83
Tilapia,26.19,1.25,8.44,0.178,30.75,5.68
Tilapia,27.62,1.47,6.86,0.217,28.45,4.65
Catfish,25.79,9.05,7.04,0.772,36.83,6.86
Salmon,7.46,1.15,7.09,0.041,11.67,10.94
Bass,23.13,1.7,7.22,0.221,12.96,7.42
Tilapia,22.65,2.77,6.63,0.114,46.09,5.91
Trout,10.99,0.98,6.76,0.056,0.44,10.96
Goldfish,16.9,2.48,7.91,0.168,36.42,7.87
Tilapia,22.8,1.79,6.93,0.437,46.11,7.56
Trout,13.32,1.6,7.22,0.157,18.63,8.92
Salmon,9.81,1.14,6.88,0.062,20.23,7.23
Goldfish,16.18,3.09,6.84,0.105,17.53,7.88
Catfish,27.94,9.3,6.86,0.83,18.56,4.57
Bass,17.39,1.48,6.13,0.289,47.34,5.38
Catfish,26.93,8.53,7.96,0.693,18.64,5.74
Goldfish,12.16,3.03,6.9,0.163,8.37,5.75
Bass,15.6,4.25,7.78,0.196,11.4,8.25
Bass,25.86,5.18,6.12,0.01,10.21,7.25
Goldfish,20.81,2.81,7.57,0.277,23.27,7.86
Bass,22.51,5.18,6.93,0.091,37.84,4.33
Tilapia,24.51,2.67,8.02,0.445,39.56,7.02
Bass,17.32,1.22,6.15,0.045,11.78,5.85
Salmon,12.43,1.22,6.58,0.099,27.53,9.06
Salmon,8.19,1.72,7.66,0.027,23.44,9.85
Catfish,24.12,7.39,7.33,0.923,43.85,3.07
Salmon,15.56,0.96,7.48,0.164,12.33,9.47
Catfish,27.58,9.81,6.17,0.923,24.54,5.99
Bass,16.25,1.23,7.33,0.08,17.32,7.98
Salmon,6.36,1.68,7.04,0.004,22.93,9.06
Bass,16.02,5.59,6.04,0.064,21.01,5.27
Trout,14.98,2.17,6.92,0.171,13.04,11.35
Trout,14.3,1.58,6.72,0.023,9.44,9.81
Bass,18.99,1.88,8.25,0.265,17.97,7.83
Tilapia,29.04,2.88,7.17,0.312,4.55,6.28
Trout,15.59,1.66,7.06,0.127,4.53,9.42
Tilapia,28.64,1.3,7.65,0.086,35.26,5.44
Salmon,6.64,0.71,7.55,0.063,26.35,11.39
Catfish,20.35,4.79,6.9,0.822,44.6,4.83
Salmon,4.32,1.97,6.97,0.2,21.54,9.32
Tilapia,24.99,2.19,7.98,0.125,42.28,7.55
Tilapia,29.98,1.41,7.84,0.26,8.74,7.33
Tilapia,22.51,2.24,6.99,0.331,0.09,4.6
Goldfish,23.91,2.84,7.42,0.472,38.89,8.6
Trout,6.89,2.78,7.46,0.166,12.53,10.07
Goldfish,15.08,2.11,6.77,0.204,26.21,8.33
Tilapia,25.85,1.63,6.69,0.05,32.85,7.48
Trout,7.96,2.96,6.9,0.107,11.74,8.53
Bass,15.24,5.08,7.2,0.133,7.56,
Bass,25.41,3.79,7.61,0.272,17.34,8.9
Goldfish,12.64,1.98,6.57,0.044,20.74,7.65
Catfish,23.78,3.67,6.49,0.064,19.05,3.93
Bass,21.86,5.31,6.94,0.213,22.3,4.15
Catfish,26.28,4.03,7.59,0.568,46.49,3.51
Trout,15.45,0.67,7.26,0.078,12.79,7.36
Catfish,20.88,3.9,7.64,0.503,43.18,3.96
Tilapia,27.22,4.29,7.81,0.162,14.28,4.19
Goldfish,13.62,2.46,6.78,0.245,17.78,5.23
Salmon,10.2,1.76,6.75,0.04,25.56,8.65
Catfish,26.14,3.14,6.73,0.643,49.07,
Trout,8.36,2.64,,0.199,14.58,9.88
Tilapia,26.65,2.77,6.59,0.166,43.89,5.93
Catfish,25.31,4.04,7.66,,21.3,4.97
Tilapia,26.39,2.02,7.57,0.139,2.18,5.39
Tilapia,26.14,3.61,7.23,0.359,6.05,4.09
Catfish,25.17,8.25,7.81,0.014,45.32,4.16
Trout,8.13,2.72,6.63,0.092,11.3,10.41
Trout,16.51,2.72,6.55,0.149,8.36,7.31
Tilapia,27.35,4.95,8.23,0.474,32.34,4.61
Goldfish,19.23,1.89,6.8,0.487,22.04,6.14
Bass,25.72,1.8,6.0,0.175,17.21,5.72
Salmon,4.87,1.18,6.54,0.134,8.51,9.12
Trout,13.14,1.6,6.72,0.165,11.71,10.62
Bass,21.73,3.32,6.9,0.188,35.45,5.93
Goldfish,21.69,2.56,7.1,0.021,,7.95
Goldfish,17.26,3.65,7.01,0.281,10.88,8.6
Tilapia,23.52,1.74,6.63,0.482,3.88,6.76
Salmon,15.3,0.29,7.84,0.047,5.17,6.81
Tilapia,28.49,4.96,7.06,0.46,20.96,4.62
Salmon,11.33,0.09,6.52,0.102,12.19,11.67
Salmon,7.58,0.74,6.94,0.185,29.68,11.26
Tilapia,27.39,1.19,8.4,0.423,48.39,7.32
Goldfish,19.87,1.04,6.6,0.278,29.27,5.85
Bass,25.2,3.1,6.28,0.089,17.98,5.03
Trout,13.46,0.46,7.8,0.117,8.17,10.33
Tilapia,28.23,2.95,7.41,,8.25,5.48
Bass,19.85,2.54,7.97,0.053,35.03,4.6
Catfish,25.93,8.1,7.08,0.514,20.18,6.0
Trout,9.87,2.7,7.27,0.022,15.42,10.95
Bass,18.71,1.48,6.8,0.207,15.57,6.69
Trout,,2.59,7.04,0.075,10.87,11.57
Tilapia,29.43,1.61,7.88,0.067,15.55,7.19
Trout,7.06,2.49,7.76,0.036,6.54,9.9
Goldfish,13.97,1.35,6.9,0.154,16.73,5.43
Tilapia,27.26,3.24,8.2,0.065,49.11,6.75
Catfish,20.46,3.73,7.59,0.671,33.33,4.81
Goldfish,10.7,1.76,7.56,0.484,30.79,7.4
Goldfish,19.88,1.18,6.6,0.428,25.83,7.04
Tilapia,23.49,3.45,7.05,0.224,23.48,6.96
Goldfish,21.12,2.24,7.42,0.492,0.3,6.46
Salmon,10.12,0.47,6.9,0.002,2.01,11.34
Salmon,6.13,1.02,7.1,0.181,4.67,6.77
Goldfish,23.39,2.92,6.96,0.492,8.95,8.65
Trout,5.39,2.89,7.38,0.166,10.92,7.29
Tilapia,24.67,2.38,8.21,0.175,14.78,6.3
Catfish,27.09,2.35,7.07,0.034,50.37,4.84
Bass,25.28,4.83,8.43,0.124,39.95,4.32
Tilapia,24.46,4.47,7.91,0.173,15.21,5.96
Salmon,14.5,0.07,7.4,0.2,27.6,7.85
Goldfish,22.76,1.06,6.92,0.002,,8.34
Goldfish,17.95,2.23,7.73,0.115,3.49,7.45
Trout,8.02,0.78,7.85,0.174,13.05,11.89
Bass,22.01,5.61,8.27,0.048,17.42,6.72
Catfish,22.48,8.05,7.96,0.78,44.09,6.74
Catfish,22.06,6.26,6.02,0.938,26.26,6.85
Trout,17.92,1.13,7.76,0.015,11.93,11.42
Goldfish,15.33,2.44,7.6,0.227,13.31,6.18
Trout,14.98,2.72,6.62,0.131,3.3,11.33
Goldfish,23.08,2.37,6.54,0.241,18.17,7.21
Goldfish,18.77,2.9,7.92,0.068,3.46,6.7
Trout,13.1,0.03,7.97,0.052,19.27,9.66
Trout,16.97,0.01,7.47,0.078,0.99,7.77
Bass,24.31,4.94,7.89,0.216,45.9,5.78
Bass,17.05,5.15,7.16,0.286,16.34,7.65
Bass,17.58,1.54,7.02,0.207,21.22,7.52
Goldfish,20.89,3.79,7.44,0.031,39.94,7.9
Trout,8.99,0.67,6.79,0.087,12.31,9.69
Salmon,12.77,0.3,7.77,0.106,28.29,9.63
Catfish,25.03,4.32,7.17,0.29,42.65,6.31
Trout,7.36,2.2,6.72,0.023,11.1,7.84
Goldfish,14.07,1.94,7.82,0.334,7.1,5.14
Tilapia,23.92,2.02,6.85,0.36,27.26,5.57
Tilapia,27.68,4.34,7.67,,,7.0
Salmon,13.45,1.81,6.85,0.156,23.99,9.83
Bass,16.78,2.32,6.31,0.132,37.04,7.01
Trout,5.27,1.45,7.01,0.012,5.8,7.64
Trout,15.04,0.42,7.04,0.033,12.33,9.49
Trout,16.86,0.47,7.27,0.033,14.53,8.05
Goldfish,19.15,3.4,7.58,0.421,9.05,6.03
Goldfish,13.11,2.24,6.63,0.018,34.78,6.53
Catfish,25.7,3.85,7.24,0.417,39.69,3.78
Goldfish,19.11,1.23,6.68,0.13,5.91,5.96
Trout,11.79,0.28,7.95,0.19,11.32,8.94
Tilapia,27.83,4.64,6.92,0.204,9.59,5.97
Trout,11.84,0.17,6.88,0.075,8.85,9.51
Trout,10.04,1.21,6.52,0.124,4.72,10.38
Goldfish,12.45,2.01,6.65,0.011,38.83,5.76
Catfish,25.32,7.41,6.75,0.655,16.68,4.3
Trout,16.34,2.44,7.14,0.142,3.9,10.84
Bass,19.07,1.92,7.97,0.205,20.38,8.25
Bass,15.95,1.86,6.72,0.089,,8.34
Bass,18.57,5.4,6.54,0.093,10.31,7.54
Bass,22.01,1.51,7.66,0.029,18.17,6.74
Goldfish,22.94,2.79,7.51,0.375,5.41,7.97
Tilapia,24.98,2.9,8.19,0.47,48.38,5.21
Catfish,27.85,6.58,6.98,0.158,41.72,5.61
Tilapia,29.18,3.32,6.76,0.311,9.4,6.64
Tilapia,25.76,1.16,7.86,0.313,,5.42
Trout,9.12,2.27,6.8,0.011,16.79,7.07
Goldfish,20.82,1.84,7.34,0.073,19.35,8.96
Trout,10.27,2.72,7.48,0.069,11.32,9.75
Trout,13.87,2.8,6.55,0.073,10.73,
Bass,24.13,2.31,6.57,0.102,13.59,4.93
Trout,10.04,2.12,7.47,0.035,14.33,7.74
Bass,19.92,4.48,7.18,0.08,31.57,7.24
Salmon,13.0,1.18,7.26,0.16,26.55,9.15
Catfish,27.01,3.93,7.39,0.948,44.18,3.01
Goldfish,14.26,2.51,7.8,0.426,26.27,7.72
Bass,19.49,5.14,6.98,0.077,10.42,5.85
Bass,21.83,2.6,6.42,0.125,7.61,8.95
Trout,8.83,2.86,7.63,0.118,16.44,11.5
Catfish,26.07,9.32,7.17,0.916,23.64,4.84
Bass,17.69,1.02,6.05,0.187,39.14,5.28
Bass,23.79,2.28,6.45,0.279,40.5,8.52
Catfish,22.68,6.33,7.14,0.903,,4.6
Trout,12.95,0.31,6.85,0.147,13.4,7.71
Bass,24.74,4.46,6.28,0.168,28.23,4.32
Trout,17.15,1.48,7.45,0.185,10.53,9.25
Bass,19.56,1.71,8.17,0.274,10.8,6.78
Goldfish,12.3,3.01,7.31,0.384,38.13,7.88
Bass,22.32,4.9,8.21,0.068,16.71,6.34
Goldfish,16.64,2.94,7.24,0.227,5.8,5.69
Catfish,27.14,3.02,6.86,0.43,15.27,4.08
Bass,19.1,1.47,6.38,0.155,26.0,6.9
Catfish,22.67,7.57,7.25,0.252,58.31,6.55
Goldfish,23.62,3.77,7.77,0.009,33.62,
Salmon,6.97,0.25,6.51,0.105,6.31,9.55
Catfish,21.3,7.83,6.89,0.805,44.36,6.82
Trout,8.47,2.52,7.28,0.187,8.69,10.49
Tilapia,26.64,1.5,7.85,0.124,8.46,7.68
Trout,17.54,2.06,6.56,0.043,15.9,7.65
Goldfish,18.64,3.24,6.94,0.075,2.4,6.41
Tilapia,27.66,4.41,7.13,0.316,2.81,5.62
Goldfish,17.06,3.9,7.95,0.489,28.7,7.04
Trout,10.66,2.57,6.92,0.084,12.22,8.37
Trout,7.18,0.26,6.85,0.088,3.54,9.19
Catfish,24.64,3.78,6.07,0.457,19.26,5.3
Salmon,11.59,1.66,7.01,0.106,12.84,7.31
Goldfish,17.29,3.56,7.58,0.454,30.57,5.59
Goldfish,23.45,3.58,7.67,0.319,17.86,8.63
Trout,16.0,0.59,7.97,0.033,7.36,9.1
Goldfish,21.15,3.37,7.95,0.19,8.09,5.42
Salmon,9.25,0.68,6.72,0.154,27.99,6.48
Goldfish,20.17,2.66,,0.369,21.04,8.29
Tilapia,22.23,4.65,7.03,0.257,33.95,7.81
Catfish,20.17,8.9,7.36,,,6.29
Trout,6.48,0.18,6.84,0.076,3.53,9.57
Catfish,,6.91,7.44,0.683,47.21,6.99
Tilapia,26.73,4.09,6.96,0.495,49.63,6.6
Salmon,6.21,0.28,6.75,0.189,27.69,6.59
Catfish,20.54,9.48,7.24,0.162,56.28,4.06
Tilapia,22.25,4.47,7.43,0.455,13.47,6.25
Trout,9.34,0.68,,0.003,4.93,10.32
Bass,16.14,3.31,8.45,0.121,27.68,7.02
Salmon,14.61,1.9,7.54,0.103,5.06,11.24
Goldfish,12.9,2.98,7.32,0.01,39.36,7.5
Catfish,26.79,7.75,7.65,0.869,54.15,6.13
Salmon,9.06,0.0,7.79,0.018,23.39,11.06
Bass,24.45,5.93,6.8,0.101,8.84,4.56
Goldfish,12.09,2.75,7.62,0.156,39.7,6.12
Goldfish,23.61,2.66,6.68,0.288,23.98,6.74
Catfish,22.05,7.52,6.45,0.461,22.51,4.58
Salmon,10.44,1.81,7.44,0.161,13.79,6.78
Salmon,15.63,1.87,7.79,0.107,18.5,8.72
Tilapia,26.82,1.46,7.81,0.415,17.21,6.09
Goldfish,10.24,3.82,,0.033,38.72,7.61
Trout,9.21,2.19,7.41,0.0,16.67,8.69
Catfish,20.89,4.92,7.0,0.828,16.74,3.69
Catfish,20.19,2.15,7.08,,50.82,5.99
Tilapia,23.99,4.89,6.69,0.005,6.99,4.17
Bass,,4.93,7.33,0.141,45.16,6.03
Salmon,10.46,0.51,7.01,0.171,12.9,10.93
Trout,13.24,1.17,7.57,0.187,6.66,7.62
Salmon,11.89,0.1,6.54,0.18,28.54,9.1
Tilapia,22.92,2.62,7.81,0.286,49.24,6.05
Salmon,,0.39,7.17,0.134,21.93,10.49
Tilapia,23.9,1.59,7.54,0.121,24.16,4.75
Trout,8.46,0.4,6.68,0.149,15.29,9.64
Catfish,26.16,4.17,6.3,0.021,32.1,5.17
Bass,25.9,1.74,6.65,0.099,43.26,8.71
Trout,7.57,1.27,7.87,0.022,12.04,7.69
Trout,11.46,2.73,7.87,0.192,14.33,8.36
Salmon,12.01,0.1,7.16,0.112,18.47,
Tilapia,26.85,2.49,7.4,0.226,16.73,7.34
Tilapia,27.08,3.09,6.71,0.212,32.64,6.99
Goldfish,16.69,2.83,7.37,0.293,24.78,5.15
Trout,15.87,1.02,7.09,0.188,8.26,11.15
Bass,25.85,3.17,7.82,0.137,42.33,6.75
Goldfish,13.89,3.25,7.33,0.359,33.2,6.64
Bass,,2.72,7.5,0.242,14.95,8.83
Catfish,24.0,5.92,7.78,0.04,52.86,3.06
Bass,24.49,2.34,8.49,0.039,33.24,7.46
Goldfish,22.2,1.56,6.52,0.121,39.46,6.44
Goldfish,12.48,2.79,7.24,0.303,17.68,
Catfish,22.75,7.82,6.16,0.588,51.8,5.63
Goldfish,20.38,1.03,7.11,0.486,,6.51
Catfish,23.36,5.7,6.79,0.566,41.87,5.14
Goldfish,18.0,1.11,6.93,0.313,28.12,5.3
Bass,22.03,2.29,7.41,0.198,21.11,5.23
Trout,5.69,1.44,7.36,0.047,4.9,11.71
Salmon,11.92,0.96,7.23,0.112,8.7,11.76
Salmon,10.91,1.09,7.28,0.099,22.29,10.72
Tilapia,27.38,4.48,8.19,0.405,49.85,6.62
Goldfish,16.54,2.14,7.48,0.211,20.2,6.21
Trout,14.89,2.37,7.81,0.076,18.74,8.77
Trout,14.25,0.82,6.97,0.154,5.82,11.29
Catfish,26.71,6.44,6.4,0.404,40.51,6.57
Goldfish,10.65,3.21,7.04,0.108,14.66,6.21
Goldfish,23.06,1.58,7.1,0.194,36.91,7.67
Goldfish,10.63,1.57,7.8,0.42,9.98,8.48
Bass,22.72,5.21,7.61,0.011,36.16,5.58
Salmon,5.47,0.05,7.35,0.075,24.87,11.37
Bass,23.13,1.35,8.03,0.045,45.01,4.31
Trout,4.53,2.47,7.58,0.043,4.06,9.72
Trout,9.28,2.26,6.87,0.034,19.22,9.95
Catfish,27.47,4.38,7.39,0.362,14.26,5.63
Tilapia,28.67,4.86,6.65,0.24,42.34,4.14
Catfish,23.46,3.62,6.22,0.358,35.69,3.05
Bass,24.77,5.14,6.8,0.216,37.37,6.02
Trout,5.15,0.58,7.02,0.125,17.12,9.29
Salmon,6.27,0.22,7.08,0.196,23.69,9.25
Catfish,27.11,5.08,7.56,0.407,37.93,3.48
Goldfish,10.87,2.89,7.08,0.317,7.15,5.53
Bass,19.11,5.91,6.92,0.295,19.98,5.39
Trout,9.12,0.9,7.02,0.124,12.88,7.34
Goldfish,14.59,3.33,7.33,0.355,6.48,5.23
Tilapia,27.59,2.84,7.25,0.198,43.37,7.31
Bass,24.02,2.11,8.33,0.148,26.15,8.77
Catfish,27.15,6.46,7.47,0.981,58.9,3.05
Catfish,24.74,3.15,7.86,0.618,34.46,4.32
Salmon,5.2,0.65,7.7,0.089,2.01,9.37
Tilapia,24.59,1.7,7.62,0.151,2.95,5.14
Salmon,8.49,0.63,6.91,0.053,9.86,9.85
Trout,12.87,1.49,6.83,0.015,18.67,11.62
Salmon,12.3,0.91,7.2,0.037,29.63,6.4
Catfish,27.58,4.53,6.57,0.999,15.03,6.73
Goldfish,20.96,2.67,8.0,0.465,37.52,5.95
Goldfish,14.65,2.11,6.75,0.321,18.23,7.11
Goldfish,15.12,2.16,6.9,0.014,38.51,
Catfish,20.5,8.68,7.85,0.267,18.48,4.83
Bass,20.87,1.58,7.04,0.261,18.19,4.14
Goldfish,20.7,2.25,,0.064,38.24,6.16
Bass,19.79,4.55,7.78,0.165,13.29,7.45
Goldfish,11.82,1.67,6.7,0.141,14.49,7.9
Tilapia,26.55,2.06,7.04,0.175,11.87,4.93
Catfish,26.38,3.97,7.63,0.7,47.84,4.63
Trout,15.35,2.73,,0.098,9.91,9.62
Bass,16.69,3.44,8.38,0.025,25.79,
Catfish,23.15,7.69,6.29,,37.36,6.77
Trout,11.52,0.7,7.34,0.034,13.74,7.25
Tilapia,25.65,1.68,7.58,0.064,34.11,6.48
Goldfish,20.89,3.77,6.53,0.498,1.41,8.31
Salmon,10.93,0.4,7.47,0.066,15.71,7.48
Catfish,20.08,2.58,6.8,0.094,46.94,3.03
Bass,21.25,2.15,7.92,0.279,9.65,7.81
Goldfish,18.72,1.85,7.82,0.429,1.28,7.51
Catfish,26.76,7.89,6.23,0.944,28.87,3.17
Salmon,13.59,1.05,6.66,0.126,24.06,7.88
Tilapia,25.48,4.34,7.64,0.102,10.67,
Tilapia,23.64,4.83,6.77,0.045,36.16,4.96
Tilapia,28.4,4.77,8.18,0.446,17.45,6.35
Trout,17.5,2.47,,0.122,16.4,7.81
Salmon,12.4,0.28,6.9,0.17,2.75,11.43
Trout,15.17,1.38,7.9,0.153,2.77,10.37
Catfish,23.79,9.52,6.64,0.405,45.16,3.7
Tilapia,29.36,4.49,6.79,0.324,13.7,5.12
Goldfish,21.71,2.29,6.89,0.431,37.78,5.99
Bass,24.87,2.29,7.72,0.283,30.42,5.87
Tilapia,25.28,2.53,6.64,0.016,43.99,4.45
Bass,19.49,4.56,6.26,0.278,43.35,6.37
Goldfish,14.2,2.88,7.34,0.084,24.07,8.54
Trout,7.89,2.7,6.64,0.152,13.29,10.43
Bass,17.59,2.63,7.7,0.238,17.44,6.16
Trout,12.26,1.82,6.86,0.106,5.84,7.73
Tilapia,23.6,4.31,8.2,0.352,44.52,5.98
Catfish,20.75,6.29,6.31,,45.1,6.73
Goldfish,16.08,3.94,6.79,0.333,37.88,5.36
Salmon,11.55,,7.39,0.147,24.28,7.06
Catfish,23.82,2.21,7.53,0.366,30.48,3.87
Trout,16.74,0.41,7.58,0.13,1.96,8.65
Goldfish,23.61,2.3,7.09,0.032,18.51,5.71
Tilapia,24.21,1.23,7.56,0.36,,4.99
Bass,26.05,2.71,6.95,0.258,35.85,5.37
Salmon,5.1,1.54,7.4,0.068,11.55,7.08
Salmon,,1.87,7.33,0.2,9.55,8.11
Goldfish,17.49,3.25,7.83,0.258,19.46,7.65
Goldfish,,2.02,7.16,0.251,14.77,8.36
Catfish,26.3,2.42,7.83,0.748,59.6,3.7
Tilapia,24.39,2.16,8.18,0.25,3.49,6.79
Tilapia,29.73,4.21,7.52,0.063,9.48,5.72
Trout,7.68,0.98,6.77,0.01,19.07,11.01
Bass,20.68,3.09,6.58,0.132,46.13,7.36
Catfish,24.35,4.66,6.97,0.436,14.84,6.2
Trout,11.79,1.1,7.82,0.012,12.09,11.02
Salmon,10.15,0.29,7.55,0.168,16.3,7.48
Salmon,15.53,0.53,6.75,0.178,12.45,6.7
Catfish,22.82,5.23,6.15,0.447,10.02,3.22
Bass,25.3,5.53,6.33,0.154,17.31,4.13
Salmon,7.82,1.69,6.89,0.042,20.23,9.65
Goldfish,21.46,2.85,7.2,0.468,30.92,8.73
Bass,20.54,1.93,6.53,0.297,13.02,8.3
Goldfish,20.53,3.64,7.46,0.186,35.89,5.7
Catfish,21.54,6.97,6.65,0.916,19.01,4.65
Tilapia,29.68,2.41,7.07,0.446,8.41,7.28
Salmon,14.65,0.67,7.49,0.147,16.46,7.35
Catfish,21.92,9.93,7.51,0.497,24.64,3.44
