Fish Species,Temperature (°C),pH,Turbidity (NTU),Dissolved Oxygen (mg/L)
Bass,,6.5,19.43,6.83
Bass,18.58,,45.5,8.63
Trout,11.04,6.73,4.91,8.62
Tilapia,27.06,7.03,26.26,4.73
Goldfish,20.83,7.67,,7.74
Eel,10.64,6.53,10.84,7.67
Clownfish,27.13,7.93,2.27,7.03
Tilapia,23.68,,45.01,4.42
Bass,17.57,6.72,20.61,6.1
Goldfish,11.39,7.6,18.22,5.05
Catfish,25.78,6.81,52.25,6.28
Salmon,14.53,7.15,0.42,6.39
Tilapia,28.18,7.71,29.13,7.12
Bass,18.99,6.04,32.69,6.13
Bass,23.72,6.53,11.62,4.56
Eel,6.38,6.61,14.74,6.36
Eel,17.9,7.41,21.95,7.94
Catfish,26.0,6.71,64.07,3.67
Catfish,24.73,7.69,45.15,6.01
Eel,15.1,6.12,24.89,3.58
Trout,10.56,6.61,7.29,10.18
Bass,15.22,6.01,39.52,9.83
Bass,21.35,6.25,47.01,7.06
Clownfish,25.87,7.81,0.91,7.26
Clownfish,26.3,7.96,3.97,
Goldfish,14.87,7.56,14.04,6.27
Goldfish,24.62,7.21,9.17,7.17
Tilapia,27.58,6.84,18.96,4.9
Clownfish,24.86,8.06,0.01,7.83
Eel,11.1,7.27,13.68,5.85
Catfish,24.63,6.74,21.54,6.63
Clownfish,26.76,8.25,2.36,6.99
Catfish,24.66,7.33,44.94,3.29
Goldfish,24.42,8.06,15.65,5.1
Trout,11.61,7.06,1.96,9.43
Tilapia,23.91,7.42,26.93,5.39
Catfish,20.81,6.48,74.62,5.03
Eel,15.24,6.34,15.03,4.25
Catfish,21.61,7.71,74.43,5.17
Catfish,27.61,7.95,41.51,5.1
Tilapia,29.2,7.07,19.51,7.91
Trout,15.41,7.04,9.75,7.9
Catfish,25.34,6.64,19.31,5.06
Eel,14.53,7.8,17.88,5.85
Clownfish,25.01,8.1,0.6,7.59
Eel,16.54,7.69,11.48,6.84
Trout,15.99,,1.97,7.86
Trout,12.15,7.47,8.41,11.36
Tilapia,27.99,7.19,16.85,5.97
Bass,17.4,7.34,30.14,5.88
Eel,14.28,7.39,18.53,5.41
Eel,16.07,6.09,15.5,4.35
Bass,22.02,6.73,12.76,8.14
Goldfish,21.24,7.64,19.37,5.85
Eel,24.14,6.74,27.5,6.48
Trout,16.21,6.8,6.39,8.81
Salmon,8.8,7.23,7.88,9.1
Salmon,12.58,6.95,1.03,7.45
Tilapia,26.05,7.82,22.02,4.01
Goldfish,17.65,7.65,17.31,7.78
Goldfish,22.42,8.12,6.0,7.34
Tilapia,24.79,,28.57,4.77
,11.07,6.18,24.07,6.44
Bass,23.73,6.02,48.48,9.7
Bass,17.03,7.16,30.68,9.98
Bass,18.22,6.0,23.18,5.26
Tilapia,27.67,7.94,44.19,7.9
Tilapia,23.05,7.47,43.98,5.3
Eel,8.75,6.69,16.85,5.4
Bass,20.48,7.25,26.55,9.4
Eel,15.09,7.09,,7.83
Goldfish,10.56,7.53,5.53,7.35
,29.07,6.51,16.27,4.22
Salmon,9.5,6.62,0.12,7.46
Bass,23.02,7.36,9.15,6.78
Tilapia,24.56,7.65,26.6,6.37
Goldfish,17.9,7.63,14.63,7.68
Goldfish,11.22,8.38,13.39,7.94
Trout,16.89,7.1,1.04,9.73
Bass,23.59,6.86,25.92,9.94
Eel,22.19,6.92,26.55,3.55
Catfish,21.89,7.8,14.26,6.81
,16.56,7.23,0.26,7.61
Salmon,14.01,6.67,0.01,
Tilapia,29.25,7.27,37.01,4.94
Salmon,10.5,7.02,3.04,6.53
Bass,16.29,6.91,47.33,5.12
Eel,24.6,,,6.6
Tilapia,23.29,7.88,13.05,7.94
Clownfish,26.43,,4.32,5.09
Bass,20.44,6.72,46.4,9.97
Bass,23.1,6.8,7.62,9.98
Salmon,9.28,6.96,4.55,7.16
Bass,18.01,7.03,6.88,
Catfish,26.08,6.5,,5.8
Tilapia,26.71,7.11,,7.87
Goldfish,19.13,7.28,9.13,5.66
Clownfish,26.06,8.37,2.84,7.75
Tilapia,22.41,7.21,31.81,7.21
,25.24,6.86,60.54,5.11
Bass,15.48,,49.86,8.8
Salmon,11.86,6.88,3.57,8.95
Goldfish,18.67,,14.5,5.04
Clownfish,25.95,8.2,4.65,7.82
Catfish,27.15,6.34,54.55,4.15
Eel,18.25,7.08,26.85,4.29
Clownfish,25.07,8.32,2.51,
Salmon,11.72,,1.75,11.97
Tilapia,22.35,7.92,36.19,7.14
Goldfish,11.53,7.41,6.59,6.5
Catfish,27.06,6.42,48.3,3.61
Trout,15.4,7.32,9.8,9.57
Catfish,26.51,6.26,51.28,3.51
Clownfish,24.46,,4.89,6.64
Bass,16.3,6.92,39.47,7.99
Eel,21.1,6.58,15.39,3.37
Bass,18.23,6.39,8.14,6.38
Trout,16.91,7.39,7.01,7.53
Eel,6.06,6.45,28.65,4.98
Salmon,13.31,6.59,1.25,8.58
Bass,17.71,6.79,42.73,7.47
,22.25,,7.36,4.97
Catfish,20.12,7.76,55.91,3.1
Goldfish,15.69,8.29,12.89,6.97
,8.06,6.92,18.67,6.55
Clownfish,27.42,7.95,4.59,6.67
Tilapia,29.96,7.7,,5.69
Goldfish,11.39,7.54,5.79,6.58
Eel,11.92,,14.31,4.92
Salmon,10.17,7.16,,10.35
Clownfish,,,2.21,6.99
Trout,10.07,7.39,0.28,
Tilapia,26.75,7.29,20.57,5.59
Tilapia,25.9,6.79,22.72,7.47
Bass,21.37,7.19,38.63,6.96
Goldfish,11.76,8.37,8.62,6.84
Goldfish,19.57,7.07,13.11,5.7
Goldfish,12.08,7.79,,5.77
Catfish,,6.84,58.02,5.28
Catfish,25.12,6.64,5.21,6.18
Trout,17.93,6.74,9.56,11.07
Trout,13.66,7.32,3.06,11.38
Goldfish,19.16,7.93,12.37,5.3
Eel,21.05,6.51,21.11,6.28
,26.04,8.32,1.38,6.62
Clownfish,26.72,7.99,2.48,7.76
Bass,21.4,6.49,14.27,5.45
Eel,7.28,6.05,13.27,4.22
Clownfish,26.13,,0.57,7.13
Tilapia,27.65,7.62,14.06,6.03
Catfish,23.27,7.34,41.49,6.14
Eel,9.23,6.68,21.74,5.79
Bass,24.64,6.19,35.85,8.8
Tilapia,27.22,7.1,38.62,4.09
Bass,17.38,6.62,25.4,9.8
Bass,22.48,6.69,8.31,6.19
Catfish,25.65,7.91,90.18,3.33
Goldfish,11.77,8.42,13.64,5.13
Catfish,24.36,7.03,79.71,3.97
Salmon,8.18,7.24,0.57,6.25
Eel,16.68,7.11,24.5,4.49
Bass,24.07,7.14,42.56,6.58
,26.4,7.95,1.32,6.74
Trout,,6.59,7.03,10.17
Clownfish,26.44,8.36,0.72,7.22
Bass,24.26,6.77,,5.54
Clownfish,24.29,,3.71,7.26
Clownfish,27.61,8.19,2.86,6.92
Eel,14.58,6.21,,
Goldfish,17.74,7.73,8.7,5.45
Goldfish,18.75,7.91,16.06,
Clownfish,26.22,8.0,1.02,7.17
Bass,15.57,6.16,27.82,5.53
Bass,18.62,6.98,14.62,6.12
Tilapia,22.23,7.18,32.74,6.19
Salmon,13.45,6.99,6.55,10.15
Bass,22.99,6.66,37.32,4.69
Clownfish,26.31,,2.05,5.66
Tilapia,26.2,7.27,,7.4
Tilapia,26.14,7.83,30.46,7.97
Eel,9.4,,23.36,3.37
Salmon,13.64,6.88,5.49,8.31
Goldfish,16.62,7.74,8.43,5.65
Salmon,14.52,6.94,2.7,11.26
Catfish,23.03,6.35,6.74,3.83
Salmon,8.64,7.03,7.2,10.64
Eel,12.3,7.65,23.62,3.41
Catfish,27.18,7.08,83.49,6.21
Clownfish,25.34,8.1,2.45,6.23
Eel,20.83,6.11,,
Clownfish,26.21,7.98,4.13,5.2
Catfish,26.88,7.32,31.07,3.88
Tilapia,28.92,7.23,,7.15
Catfish,22.03,7.56,39.84,6.35
Clownfish,24.13,7.84,2.67,7.91
Clownfish,24.24,8.24,4.64,6.74
Eel,9.61,6.82,25.13,4.43
Tilapia,27.01,7.29,43.37,6.86
Salmon,13.3,7.47,5.04,11.04
Tilapia,23.46,7.46,10.34,4.03
Tilapia,22.55,6.92,44.56,
,24.72,7.87,0.01,5.89
Bass,16.17,6.6,47.88,6.18
Catfish,20.78,6.14,67.21,4.89
Trout,13.24,6.94,9.35,11.33
Eel,24.63,6.7,21.72,4.15
Catfish,26.68,7.38,59.06,5.36
Eel,20.77,7.05,19.53,5.22
Trout,16.97,6.52,1.9,
Trout,,7.06,4.35,9.64
Trout,10.83,7.46,0.0,9.21
Catfish,25.13,6.46,51.97,3.52
Catfish,26.19,7.37,75.96,3.37
Salmon,11.38,6.88,6.04,11.31
Eel,16.1,6.65,22.77,4.22
Trout,,6.94,0.38,
Bass,15.39,6.59,12.47,6.54
,25.53,7.39,95.28,3.62
,9.96,6.71,5.8,7.73
Clownfish,26.62,8.29,0.14,5.33
Eel,8.72,6.64,21.85,7.51
Goldfish,15.79,7.75,15.95,6.63
Trout,15.58,6.55,4.1,10.23
Eel,16.2,6.44,15.63,3.5
Trout,16.58,6.94,8.36,7.61
Tilapia,28.71,7.59,17.94,5.3
Trout,16.1,7.29,7.08,7.42
Bass,19.46,6.74,27.87,8.97
Bass,20.34,6.02,13.88,8.85
Salmon,14.02,6.6,9.06,9.53
Clownfish,24.87,7.83,1.97,5.56
Clownfish,25.91,8.28,0.26,6.72
Trout,,7.4,9.71,7.63
Goldfish,12.55,8.3,5.41,6.07
Tilapia,26.17,7.08,45.17,4.6
Trout,15.95,7.08,,8.59
Catfish,22.12,7.31,33.72,5.54
Bass,20.43,7.04,15.96,5.21
Clownfish,26.02,8.19,1.2,6.7
Salmon,8.77,7.06,7.77,10.87
Tilapia,24.9,6.53,16.45,6.21
Trout,10.22,6.68,2.79,7.19
Eel,15.79,7.74,16.1,4.32
Tilapia,29.69,6.88,21.9,4.44
Clownfish,27.44,8.27,0.7,6.73
Tilapia,23.83,7.33,26.04,5.02
,15.66,6.53,23.58,7.88
Goldfish,11.26,7.23,18.61,5.7
Bass,17.97,6.62,47.15,8.6
Trout,12.66,6.77,4.15,11.0
Goldfish,19.62,8.37,9.42,5.31
Eel,23.21,6.64,15.63,5.06
Clownfish,24.12,8.08,0.72,7.5
Goldfish,11.0,7.41,5.67,7.66
Trout,13.53,7.3,7.01,9.58
Trout,10.62,6.76,9.29,10.98
Goldfish,,7.05,9.79,6.07
Catfish,23.52,6.55,74.33,6.09
Catfish,21.68,7.32,63.24,3.35
Trout,14.31,7.22,0.92,8.41
Tilapia,27.25,6.89,20.69,7.54
Bass,18.98,7.47,44.97,8.77
Salmon,13.38,6.6,4.24,10.76
Trout,16.24,6.98,2.48,11.17
Bass,18.18,6.02,34.87,5.55
,16.23,6.58,27.42,7.25
Tilapia,25.47,,,6.48
Bass,21.74,7.24,11.74,4.97
Bass,20.31,6.94,19.84,8.73
Catfish,23.12,7.74,50.57,4.85
Catfish,25.99,6.43,8.72,6.79
Clownfish,25.19,8.16,4.55,5.11
Goldfish,18.38,8.43,16.33,7.5
Eel,7.84,7.5,12.47,5.8
Eel,22.15,7.48,22.27,3.59
Tilapia,29.9,7.64,31.82,5.13
Trout,15.45,7.28,3.26,7.55
Trout,13.96,7.07,8.7,8.86
Bass,23.89,6.42,18.79,9.51
Catfish,26.46,7.67,86.45,4.69
,24.57,7.25,21.75,6.09
Catfish,21.98,6.42,68.79,5.37
Goldfish,19.98,7.44,6.68,5.97
Clownfish,26.04,8.02,4.96,7.35
Catfish,27.73,7.64,,
Goldfish,13.55,7.61,8.92,7.21
Eel,11.65,7.48,29.58,5.24
Salmon,11.18,,1.47,10.59
Goldfish,13.61,8.18,16.58,6.27
Tilapia,,7.67,23.84,4.74
,24.78,7.57,37.55,6.19
Goldfish,24.5,8.46,18.95,
Goldfish,14.21,7.74,17.1,6.22
Salmon,,6.95,4.38,11.65
Salmon,14.07,6.51,2.06,
Eel,7.85,6.19,11.79,5.66
Eel,15.43,7.57,24.47,6.71
Trout,16.76,6.7,6.85,8.45
,11.23,6.72,0.45,9.64
Tilapia,26.67,7.59,30.85,7.89
Goldfish,,7.45,8.08,6.23
Goldfish,22.56,7.19,,5.66
Tilapia,26.77,6.66,25.52,6.36
Trout,10.43,7.21,4.51,9.52
Tilapia,29.46,6.72,26.23,6.02
Clownfish,25.43,8.04,2.13,5.43
Clownfish,25.45,8.04,1.42,6.28
Trout,12.75,6.9,9.53,7.07
Bass,18.36,6.45,39.6,9.57
Catfish,21.62,7.85,50.02,4.97
Catfish,21.11,6.36,89.37,3.04
Goldfish,20.6,8.24,12.85,6.35
Bass,22.26,6.92,30.76,4.04
Clownfish,27.95,8.08,2.47,7.31
Salmon,,6.92,9.26,10.4
Bass,21.92,6.39,28.46,8.54
Eel,21.28,7.97,26.14,3.91
Salmon,8.67,6.84,0.34,10.13
Bass,20.76,7.25,20.69,4.57
Goldfish,13.66,7.1,12.35,7.32
,17.39,7.06,0.18,10.64
Clownfish,25.25,,0.95,7.57
Trout,12.23,6.95,,10.22
Tilapia,24.39,7.88,33.83,6.86
Tilapia,29.02,6.59,37.65,6.44
Tilapia,23.04,6.59,24.67,7.72
Eel,10.07,7.39,18.92,5.84
Bass,17.83,6.45,18.54,4.63
Clownfish,26.91,8.04,,6.79
Trout,17.6,6.54,0.45,7.14
Goldfish,12.82,7.64,19.61,5.36
Clownfish,24.48,8.27,2.62,7.17
Clownfish,25.43,8.26,2.0,7.13
Catfish,20.74,7.32,39.89,3.33
Catfish,22.69,6.8,50.44,
Trout,12.37,6.94,2.42,8.25
Tilapia,,6.6,27.62,6.76
Clownfish,24.59,8.35,2.93,5.16
Salmon,,6.95,7.88,9.54
Catfish,25.49,7.52,22.22,4.79
Bass,15.14,6.62,45.88,8.3
Tilapia,24.64,6.8,32.67,5.3
Salmon,12.49,6.88,6.51,7.34
Salmon,14.59,6.75,5.13,7.77
Goldfish,,7.42,11.16,6.3
Clownfish,24.39,7.97,,7.94
Tilapia,25.71,7.39,34.0,4.16
Salmon,13.18,6.9,,10.57
Goldfish,19.26,8.36,5.99,6.46
Eel,19.1,6.56,14.24,4.32
,,7.18,9.74,6.96
Goldfish,24.38,,6.86,5.54
,26.12,8.27,3.52,6.82
Goldfish,10.79,7.18,17.85,6.05
Eel,5.78,6.19,28.14,6.96
Goldfish,13.92,7.6,7.93,5.14
Goldfish,23.42,7.76,15.29,5.45
Clownfish,25.65,7.91,2.13,5.96
Goldfish,16.13,8.03,9.02,5.39
Trout,14.1,6.66,,11.11
,22.7,8.43,,5.42
Salmon,10.11,7.33,,8.08
Catfish,20.06,7.08,24.4,5.45
Goldfish,20.14,7.38,13.55,6.34
Goldfish,16.22,7.09,5.01,6.09
Catfish,26.25,6.89,15.18,4.81
Bass,22.39,6.63,34.3,9.53
Bass,19.45,6.16,17.55,8.3
Trout,14.29,7.21,5.67,8.26
Trout,12.06,6.99,,
Goldfish,22.14,7.62,5.74,7.61
Salmon,10.03,,5.79,11.95
Trout,13.21,7.38,5.39,9.04
Catfish,23.19,7.07,65.9,6.86
Salmon,14.47,6.89,4.51,11.63
Clownfish,26.69,8.11,3.11,7.56
Bass,24.44,6.3,24.43,7.49
Trout,10.16,7.48,5.96,8.37
Trout,13.45,7.28,,
Salmon,8.76,6.78,8.93,10.43
Tilapia,27.37,6.55,47.9,5.55
Clownfish,24.05,7.98,3.44,6.87
Tilapia,25.15,,24.48,4.66
Clownfish,24.01,8.01,1.71,6.16
Trout,12.75,7.36,8.58,11.08
Catfish,21.02,6.99,93.19,5.89
Bass,24.78,6.03,37.33,5.17
Tilapia,28.31,7.45,42.04,7.63
Trout,17.74,6.62,3.77,11.61
Eel,24.05,7.28,12.82,5.05
Tilapia,23.88,7.47,26.6,5.49
Trout,16.64,6.86,7.62,
Goldfish,22.92,7.92,5.58,6.82
Trout,16.68,6.67,6.84,8.87
Tilapia,23.94,7.04,19.27,6.97
Goldfish,23.02,8.43,9.97,5.3
Tilapia,,7.38,43.85,7.67
Salmon,12.38,7.37,0.54,7.63
Bass,22.34,7.38,25.96,4.45
Eel,9.21,7.06,16.72,7.29
Tilapia,28.54,7.31,12.7,5.11
Trout,10.37,6.75,9.95,8.32
Catfish,27.44,7.98,30.75,5.31
Trout,,6.67,0.4,11.41
Goldfish,15.03,7.42,,5.46
Catfish,25.79,7.46,75.33,
Clownfish,27.62,8.34,3.92,7.83
Tilapia,26.64,7.23,38.51,5.5
Trout,,7.44,8.33,10.81
,22.09,7.6,15.58,7.62
Clownfish,24.26,8.37,4.17,6.51
Goldfish,,7.51,,7.7
Salmon,8.05,7.4,7.34,11.89
Salmon,12.27,7.23,,10.75
,,7.25,8.28,8.48
Salmon,13.39,7.35,0.4,10.42
Catfish,21.27,7.11,46.37,3.1
Goldfish,19.1,7.12,8.51,
Tilapia,28.2,,23.8,4.22
Eel,7.85,7.37,15.17,
Bass,21.65,7.13,20.99,7.26
Eel,7.28,,22.0,3.91
Tilapia,29.88,7.39,20.59,6.98
Salmon,10.69,6.62,7.47,11.32
,23.37,7.56,34.03,4.88
Trout,13.94,6.84,2.48,11.63
Trout,12.47,7.08,9.46,11.06
Bass,17.27,6.04,41.27,8.45
,11.22,6.95,3.82,9.18
Catfish,23.45,6.56,82.47,4.84
Trout,16.9,7.06,3.66,10.55
Goldfish,11.39,7.13,18.97,7.29
Clownfish,26.9,7.82,2.06,7.59
Eel,24.85,7.13,21.89,4.51
Clownfish,25.14,8.06,4.01,6.18
Eel,15.75,6.62,23.47,6.88
Salmon,11.31,7.08,6.35,7.01
Goldfish,10.65,8.42,15.5,7.91
,27.07,8.09,2.24,7.95
Clownfish,,8.16,3.77,7.83
Bass,19.49,6.47,48.27,7.42
Eel,16.72,6.96,10.89,4.23
Clownfish,26.45,7.88,0.35,6.35
Eel,17.41,6.62,12.23,6.48
Clownfish,26.59,8.14,4.56,6.67
Tilapia,26.45,7.72,35.11,6.01
Trout,13.91,7.12,2.24,7.81
Catfish,26.0,7.89,15.17,5.12
Tilapia,28.7,7.5,46.46,5.01
Tilapia,23.0,7.1,13.01,4.68
,23.17,7.09,7.36,5.36
Bass,23.55,6.12,10.14,4.93
Trout,13.04,7.49,8.72,10.26
Tilapia,24.09,6.67,38.6,4.35
Bass,,7.11,29.36,4.32
Clownfish,25.42,8.3,2.08,7.33
Trout,16.62,7.28,2.17,10.3
Tilapia,25.91,7.07,29.0,7.59
Goldfish,17.41,,13.33,6.35
Clownfish,26.4,8.24,3.16,5.99
Eel,16.58,7.07,24.57,5.19
Salmon,13.97,6.76,4.01,6.18
Goldfish,21.85,7.63,9.24,5.38
Goldfish,10.11,,10.83,7.65
Catfish,22.31,6.13,24.66,7.0
Tilapia,28.02,7.99,33.47,6.62
Tilapia,27.47,6.52,19.65,5.09
Trout,,6.72,3.49,8.07
Goldfish,24.3,7.96,18.68,5.47
Clownfish,25.63,,2.72,7.49
Goldfish,24.55,7.81,7.55,
,20.99,6.07,18.15,5.41
Tilapia,22.98,7.65,13.01,4.18
Clownfish,27.21,7.98,0.65,7.58
Goldfish,11.71,7.78,8.25,5.09
Clownfish,27.17,8.17,1.99,6.52
Goldfish,16.88,7.36,18.34,5.51
Trout,,6.69,8.24,9.58
Tilapia,24.29,7.23,24.23,7.38
Eel,5.49,7.32,25.48,6.55
Salmon,8.35,6.9,6.0,6.35
Clownfish,27.0,8.31,2.61,5.98
Eel,18.4,7.35,22.05,5.02
Bass,16.79,6.33,28.99,6.88
Goldfish,,7.19,17.05,5.84
,16.93,7.48,25.62,8.2
Trout,11.33,6.54,6.99,9.5
Tilapia,27.57,7.54,23.27,6.72
Trout,16.73,6.59,7.64,10.83
Tilapia,26.3,6.93,40.68,4.95
Tilapia,23.55,7.57,36.31,6.98
Eel,8.08,6.33,21.05,6.56
Clownfish,24.82,8.28,2.04,6.17
Trout,11.05,7.39,4.76,8.5
Clownfish,27.59,8.26,3.91,5.49
Tilapia,24.79,7.9,11.55,4.58
Trout,10.82,7.44,5.49,9.31
,29.27,6.74,45.9,4.4
Tilapia,29.8,7.65,26.32,4.98
Tilapia,26.76,7.17,37.56,7.07
,24.37,7.89,0.7,7.33
Trout,16.74,7.21,5.59,9.2
Catfish,26.71,7.74,64.82,5.43
Catfish,26.86,6.07,40.01,6.91
Salmon,9.67,6.88,1.83,8.94
Tilapia,27.1,7.89,,7.39
Trout,13.38,6.68,2.04,8.91
,23.77,7.29,14.86,5.01
Tilapia,22.95,7.77,29.6,7.49
Eel,17.46,7.68,17.91,6.86
Bass,23.6,6.45,11.05,9.92
Clownfish,25.56,8.02,1.95,
Goldfish,10.69,7.38,12.81,5.53
Goldfish,18.3,7.5,9.39,5.18
Tilapia,,6.89,38.57,6.93
Goldfish,17.07,7.12,10.46,7.69
Clownfish,26.07,7.83,0.4,6.53
Trout,12.75,6.87,2.59,9.64
Salmon,10.32,6.64,4.69,11.53
Bass,16.62,6.16,12.52,5.54
Eel,24.91,,18.5,3.85
Clownfish,27.54,7.96,4.5,7.78
Goldfish,22.63,7.92,13.01,7.08
Goldfish,18.2,7.22,6.41,7.85
Tilapia,29.7,7.36,22.81,4.94
Trout,13.79,7.14,8.49,8.87
Bass,20.57,7.43,20.14,9.57
Goldfish,23.5,7.1,5.17,7.22
Bass,20.22,7.25,8.04,7.15
Salmon,10.39,7.08,4.1,9.9
Trout,11.58,7.22,7.82,7.14
Bass,20.5,7.13,28.07,
Catfish,23.44,7.84,,6.43
Trout,13.75,7.46,7.69,10.16
Catfish,20.83,6.52,46.6,3.28
Eel,11.73,7.22,23.06,7.24
Salmon,14.77,6.81,,11.79
Salmon,8.34,6.89,6.47,7.41
Goldfish,22.18,8.03,10.24,6.86
Goldfish,13.1,7.0,16.93,7.3
Goldfish,12.58,7.75,11.28,5.54
Catfish,23.75,6.49,77.85,5.83
Tilapia,29.17,7.96,44.33,7.46
Clownfish,24.31,,4.35,5.62
Goldfish,22.06,8.2,,5.34
Eel,24.06,7.72,26.53,6.35
Salmon,10.31,6.82,7.71,7.21
Goldfish,11.48,7.03,16.56,5.61
Bass,15.85,6.23,23.43,
Eel,14.51,7.6,21.41,5.67
Trout,11.73,6.53,6.42,10.0
Eel,11.86,6.2,26.19,3.92
Bass,16.69,7.04,17.94,9.87
Goldfish,19.09,8.31,10.04,5.71
Trout,14.52,7.31,4.57,7.61
Catfish,23.59,7.35,17.32,3.07
Tilapia,24.48,7.0,29.2,7.59
,5.93,,24.15,7.72
Goldfish,22.14,8.16,18.09,5.3
Salmon,8.61,6.88,2.7,6.15
Clownfish,25.78,8.06,3.83,5.52
Tilapia,,6.78,34.01,6.06
Goldfish,20.05,7.65,9.75,5.67
Tilapia,27.34,7.62,24.99,6.87
Clownfish,27.87,8.34,,5.45
Catfish,21.15,7.57,41.79,3.11
Bass,16.1,6.45,24.1,8.57
Clownfish,26.81,8.32,3.12,5.87
Bass,23.51,6.01,39.57,8.48
Clownfish,27.09,8.3,2.25,5.98
Tilapia,25.92,6.81,35.77,6.25
Eel,21.84,7.59,17.85,5.86
,24.45,7.45,49.87,7.47
Trout,15.2,6.54,9.41,7.62
Catfish,22.25,6.92,53.09,5.16
Bass,19.33,6.59,18.82,9.89
Catfish,22.79,6.48,99.14,5.45
Eel,,7.19,27.54,6.39
Clownfish,27.97,7.88,4.63,7.79
Tilapia,26.47,7.67,14.34,5.37
Catfish,21.47,,98.82,5.67
Trout,12.0,7.12,7.5,8.26
Eel,,7.19,20.66,
Goldfish,15.67,7.05,18.29,6.15
Clownfish,24.7,7.92,0.13,5.92
Bass,20.38,,31.34,4.41
Trout,18.0,6.54,7.43,10.58
Eel,7.84,7.12,24.13,7.12
Catfish,26.84,7.35,83.16,3.11
Salmon,13.26,7.03,3.91,7.16
Goldfish,24.62,7.42,9.88,7.82
Catfish,26.61,7.61,48.54,4.59
Eel,16.57,7.0,25.45,3.67
Catfish,21.26,7.2,24.03,5.82
Salmon,14.6,7.47,2.59,11.69
,18.72,7.39,11.87,6.4
Catfish,23.69,7.14,73.83,5.47
Trout,15.8,7.19,7.09,11.45
Bass,18.19,6.56,7.64,4.5
Tilapia,25.37,6.93,23.0,7.99
Goldfish,12.39,7.58,19.81,6.08
Salmon,12.47,6.5,7.28,
,23.72,6.36,49.13,6.85
Catfish,26.86,6.21,98.71,5.05
Clownfish,27.83,8.0,3.08,7.23
Goldfish,15.38,7.37,10.92,5.75
Salmon,8.93,7.17,7.6,7.53
Catfish,27.56,7.62,57.57,4.32
Eel,6.63,7.8,17.04,3.52
Clownfish,24.56,8.01,1.71,7.12
Eel,9.46,7.22,15.52,7.27
Tilapia,25.3,7.02,33.1,5.9
Trout,13.8,7.4,1.25,11.88
Goldfish,16.69,7.09,10.92,5.63
Tilapia,22.08,7.26,38.56,7.12
Bass,24.49,7.43,29.15,6.18
Clownfish,25.98,8.38,2.74,6.99
Goldfish,,7.87,12.18,7.1
Bass,22.53,,15.75,9.44
Goldfish,11.31,,6.63,6.21
Trout,11.73,7.0,6.52,8.35
Bass,23.04,6.7,,6.37
Clownfish,25.27,8.32,1.55,7.68
Bass,16.0,7.4,28.76,6.93
Catfish,22.71,7.8,,4.3
Goldfish,21.38,7.23,6.81,7.83
Clownfish,26.95,8.26,2.55,7.8
Eel,23.78,7.67,26.11,3.43
Trout,16.26,6.96,4.26,8.95
Trout,12.46,7.28,2.38,8.42
Tilapia,24.9,6.56,20.02,4.54
Catfish,25.47,6.67,88.31,5.17
Eel,7.11,6.79,20.48,5.43
Eel,8.12,6.88,16.51,7.17
Goldfish,18.68,8.26,14.69,5.45
Goldfish,18.11,8.16,6.0,7.57
Goldfish,15.15,8.5,16.46,5.09
Bass,20.04,7.13,18.22,8.84
Clownfish,24.08,8.26,1.11,6.26
Bass,23.44,6.85,20.36,8.02
Salmon,,6.83,,8.32
Tilapia,22.74,6.81,20.74,5.19
Clownfish,26.47,8.3,4.04,5.77
Bass,21.04,6.55,48.14,5.94
,11.96,7.25,3.3,9.38
Catfish,25.1,6.85,42.04,6.24
Goldfish,14.82,8.38,10.2,7.05
Clownfish,27.42,8.27,3.87,7.53
Catfish,22.75,6.46,43.97,3.91
Trout,14.2,6.84,5.68,10.78
Clownfish,24.01,7.98,1.86,6.74
Trout,10.16,7.48,4.91,10.79
Salmon,13.66,7.16,0.84,10.18
Goldfish,22.61,7.49,11.8,5.29
Catfish,21.92,6.01,65.81,3.55
Tilapia,22.55,6.88,46.13,5.53
Salmon,10.53,6.52,5.33,7.51
Tilapia,24.3,6.56,48.94,6.17
Bass,17.83,7.0,12.98,5.01
Goldfish,18.36,7.97,18.95,
Goldfish,22.68,8.36,12.95,7.65
Bass,16.77,6.28,6.06,4.07
Eel,12.29,7.99,13.64,4.62
Bass,16.44,,5.55,5.5
Catfish,22.69,7.37,67.77,4.62
Tilapia,24.34,7.74,23.58,4.15
,27.77,7.03,21.47,6.88
Catfish,24.62,6.16,96.48,5.81
,26.78,7.92,1.58,6.76
Trout,17.01,6.85,8.64,8.93
Trout,10.81,7.44,4.09,11.35
Salmon,12.12,7.35,5.82,9.17
Bass,19.22,7.02,31.63,7.13
Trout,16.99,7.23,5.51,8.41
Goldfish,19.92,7.53,11.55,5.72
Goldfish,12.77,7.56,15.8,5.82
Salmon,13.72,7.49,6.3,9.62
Catfish,26.15,7.91,27.12,6.19
Catfish,21.45,7.09,33.69,3.68
Tilapia,22.72,6.75,47.43,6.36
Tilapia,29.1,7.02,34.07,4.96
Catfish,21.95,6.74,64.59,5.6
Eel,14.34,7.18,14.7,5.82
Bass,15.44,6.41,18.26,7.33
Eel,12.28,7.73,13.15,5.96
,18.94,7.08,28.65,6.36
Clownfish,26.13,8.25,2.22,6.35
Goldfish,11.12,8.24,14.83,5.77
Eel,13.58,7.12,16.42,7.43
Eel,16.38,6.49,,5.01
